model,rmse,mae,r2,train_time_s
XGBoost,0.056269585482205224,0.043675074546799475,0.8853308715705258,8.99640703201294
GradBoost,0.05628310556822615,0.043685749135775144,0.8852757610620922,126.31991386413574
RandomForest,0.059414809290755155,0.04610057039049137,0.8721536025265739,27.4408175945282
