feature,importance
curvature,0.34150997368316677
lighting_night,0.2383448201139517
speed_limit,0.23264559164172274
weather_clear,0.06727966914937207
num_reported_accidents,0.04256964132072725
num_lanes,0.014840254705418731
road_type_rural,0.004172738763153637
road_type_highway,0.004166995108304044
road_type_urban,0.004158093133901472
time_of_day_afternoon,0.004086465221223831
time_of_day_morning,0.004061176696016438
time_of_day_evening,0.004022353603221895
road_signs_present_True,0.003933714785712959
road_signs_present_False,0.00392886501090085
school_season_True,0.0039217502003277924
school_season_False,0.0039022506989537316
public_road_False,0.0037408442935963388
public_road_True,0.0036540862254165487
holiday_False,0.00357239752184509
holiday_True,0.003539073932406033
lighting_daylight,0.0022010444537740757
lighting_dim,0.002200867272760374
weather_foggy,0.0018202484706767268
weather_rainy,0.0017270839934490777
