iter	RMSE
0	0.1598475418
1	0.1535936289
2	0.1477225146
3	0.1417094058
4	0.1360518568
5	0.1307307424
6	0.125727971
7	0.1210340166
8	0.1165991505
9	0.1124195947
10	0.1085238585
11	0.1048631696
12	0.1014291732
13	0.09822148312
14	0.09521838248
15	0.09237388068
16	0.08974122373
17	0.08726674508
18	0.08489780393
19	0.08273125793
20	0.08069534466
21	0.07882338239
22	0.07709363029
23	0.07546696726
24	0.0739721269
25	0.07259122954
26	0.07131287892
27	0.07014343218
28	0.0690481182
29	0.06802629315
30	0.06709349053
31	0.06623794446
32	0.06545521064
33	0.06472885077
34	0.0640620668
35	0.06345451412
36	0.06289360555
37	0.06238890206
38	0.06191786645
39	0.0614836111
40	0.06108751408
41	0.06073038573
42	0.06039923443
43	0.06009921774
44	0.05982193981
45	0.05956946765
46	0.05933816137
47	0.05912654542
48	0.05893473927
49	0.05875614702
50	0.05859323155
51	0.05844292182
52	0.05831038351
53	0.05818726822
54	0.0580708316
55	0.05796643822
56	0.05786987046
57	0.0577854957
58	0.05770737559
59	0.05763621157
60	0.05757064548
61	0.05750795827
62	0.05745422178
63	0.05740283962
64	0.05735452888
65	0.05730814902
66	0.05726604558
67	0.05722861524
68	0.05719372149
69	0.0571611621
70	0.05713117592
71	0.05710204778
72	0.05707592239
73	0.05704961765
74	0.05702637773
75	0.05700594009
76	0.05698455286
77	0.05696591017
78	0.05694514768
79	0.05692823232
80	0.05691403024
81	0.05689920468
82	0.05688557245
83	0.05687075855
84	0.05685795516
85	0.05684715232
86	0.056835485
87	0.05682432782
88	0.05681244118
89	0.05679983264
90	0.0567878991
91	0.05677656571
92	0.05676827932
93	0.05676003792
94	0.056752794
95	0.05674489036
96	0.05673883259
97	0.05672972421
98	0.05672227809
99	0.05671655154
100	0.05671001655
101	0.05670391535
102	0.05669577765
103	0.05669205886
104	0.05668366349
105	0.05667882208
106	0.05667407509
107	0.05666717702
108	0.05666228582
109	0.0566562563
110	0.05664942034
111	0.05664652395
112	0.056642209
113	0.05663882352
114	0.05663597836
115	0.05663141932
116	0.0566256483
117	0.05661964697
118	0.05661308335
119	0.05660888104
120	0.0566037789
121	0.05659941992
122	0.05659465546
123	0.05659016565
124	0.05658594935
125	0.05658072896
126	0.05657899559
127	0.05657666393
128	0.05657451332
129	0.05657143447
130	0.05656889745
131	0.05656573654
132	0.05656517826
133	0.05656164805
134	0.05656048169
135	0.05655978145
136	0.05655609969
137	0.05655373578
138	0.05655162042
139	0.05654955503
140	0.05654896681
141	0.0565456259
142	0.05654207286
143	0.05653955584
144	0.05653655989
145	0.05653543255
146	0.05653332267
147	0.05653118947
148	0.05653010062
149	0.05652943795
150	0.05652786989
151	0.05652562924
152	0.05652319753
153	0.0565212005
154	0.05651943424
155	0.05651694024
156	0.05651495084
157	0.05651333713
158	0.05651160108
159	0.05651016994
160	0.05650930231
161	0.05650774335
162	0.05650434939
163	0.05650263799
164	0.05650259619
165	0.0564998413
166	0.0564986791
167	0.05649734764
168	0.05649581558
169	0.05649542463
170	0.05649399597
171	0.05649154434
172	0.05649140004
173	0.05648900204
174	0.05648696844
175	0.05648616151
176	0.05648535216
177	0.05648491289
178	0.05648267046
179	0.05648170592
180	0.05648034247
181	0.05647868657
182	0.05647610957
183	0.05647398281
184	0.05647278289
185	0.05647231629
186	0.05646865601
187	0.05646843141
188	0.05646796775
189	0.05646657348
190	0.05646630008
191	0.05646396699
192	0.05646282189
193	0.05646276899
194	0.05646079924
195	0.0564607846
196	0.05646076801
197	0.05646066484
198	0.05645986753
199	0.05645758105
200	0.05645488482
201	0.05645209078
202	0.0564510339
203	0.05644955093
204	0.05644741339
205	0.05644600409
206	0.0564448101
207	0.05644311541
208	0.0564411633
209	0.05643954813
210	0.05643919772
211	0.05643710472
212	0.0564349281
213	0.05643481319
214	0.05643480891
215	0.05643396189
216	0.05643298084
217	0.05643286652
218	0.05643284554
219	0.05643212477
220	0.05643211291
221	0.05643203026
222	0.05643099066
223	0.05642993837
224	0.05642973192
225	0.05642872262
226	0.05642733326
227	0.05642718803
228	0.05642686972
229	0.05642590914
230	0.05642575218
231	0.05642519885
232	0.05642330976
233	0.05642156934
234	0.05642094149
235	0.05641896917
236	0.05641773305
237	0.05641677323
238	0.05641478128
239	0.05641281738
240	0.05641141995
241	0.05641035833
242	0.05640889389
243	0.05640888366
244	0.05640700615
245	0.05640563119
246	0.05640438747
247	0.05640306018
248	0.05640213409
249	0.05640079517
250	0.05640021068
251	0.05639711441
252	0.05639398953
253	0.05639340425
254	0.05639098767
255	0.05638796035
256	0.05638632946
257	0.05638439208
258	0.05638336773
259	0.05638086047
260	0.05637945061
261	0.05637885615
262	0.05637760681
263	0.0563764513
264	0.0563757153
265	0.056374062
266	0.05637359842
267	0.0563721842
268	0.05637098202
269	0.0563687468
270	0.05636799636
271	0.05636644258
272	0.05636613546
273	0.05636510222
274	0.05636388893
275	0.05636122243
276	0.0563611881
277	0.0563596769
278	0.05635836651
279	0.05635766858
280	0.05635693952
281	0.05635512717
282	0.05635481216
283	0.05635411238
284	0.05635308436
285	0.05635159916
286	0.05635150016
287	0.05635074807
288	0.05634998006
289	0.05634890969
290	0.05634789924
291	0.05634575221
292	0.05634529649
293	0.0563451898
294	0.05634402544
295	0.056343058
296	0.05634204302
297	0.05634151473
298	0.056340768
299	0.05634024041
